Ação,Valor,Percentual
FNA,66452135.61,52.54246767574704
URA,43516684.15,34.40783278548222
RLI,15967647.65,12.625322012699773
ADI,312333.96,0.24695665303597114
CSA,52719.47,0.04168430439338165
ACC,42412.13,0.033534482362809676
ACD,28483.56,0.02252142112292005
EIO,24073.65,0.019034587306354413
APC,22052.15,0.017436224854470488
APH,17516.68,0.013850113081210043
FNC,16511.11,0.013055027584924652
TRF,10492.64,0.008296335294155499
REC,4664.139999999999,0.0036878487491119895
AVC,2275.9700000000003,0.0017995671479664884
CNT,1694.14,0.0013395249884910374
DEF,887.43,0.0007016743955851353
LMD,606.77,0.00047976175361345977
CSC,0.0,0.0
